,Lat,Lon,Time,Depth
E1,-2.427576652381235,-79.6622665633509,"09/09/2022, 18:00:44",2.3
E10,-2.429171579040817,-79.66498440473558,"09/09/2022, 18:04:08",2.3
E100,-2.4448803907805288,-79.69083498834111,"09/09/2022, 18:30:23",6.6
E101,-2.445425977252259,-79.69092875931484,"09/09/2022, 18:30:46",7.0
E102,-2.4457643190092506,-79.69107010285839,"09/09/2022, 18:31:05",7.0
E103,-2.4461188818254453,-79.69115654745059,"09/09/2022, 18:31:23",7.0
E104,-2.446490379259132,-79.6912492898869,"09/09/2022, 18:31:42",6.7
E105,-2.4468879283029583,-79.69136299368269,"09/09/2022, 18:32:01",7.9
E106,-2.4472369492334463,-79.69157979924158,"09/09/2022, 18:32:21",7.4
E107,-2.4474579680627113,-79.69178828749494,"09/09/2022, 18:32:34",7.2
E108,-2.4476488797023284,-79.69197549750146,"09/09/2022, 18:32:48",7.4
E109,-2.4478202591645664,-79.69216789468238,"09/09/2022, 18:32:59",7.4
E11,-2.429314254208175,-79.66522188066105,"09/09/2022, 18:04:19",1.9
E110,-2.447907995130449,-79.69242432660799,"09/09/2022, 18:33:13",7.3
E111,-2.448023265466905,-79.69270696682322,"09/09/2022, 18:33:27",7.2
E112,-2.448067161140267,-79.69303862485192,"09/09/2022, 18:33:43",7.2
E113,-2.448060089555066,-79.69333271618038,"09/09/2022, 18:33:55",7.9
E114,-2.448201568116922,-79.6937839576219,"09/09/2022, 18:34:15",10.4
E115,-2.4481437926333314,-79.69434778592549,"09/09/2022, 18:34:37",9.9
E116,-2.448104152795118,-79.69490750840724,"09/09/2022, 18:34:57",8.5
E117,-2.448097094491102,-79.6953389003704,"09/09/2022, 18:35:14",8.0
E118,-2.4480744139725377,-79.69568869159716,"09/09/2022, 18:35:28",7.3
E119,-2.448073400778346,-79.69607229295346,"09/09/2022, 18:35:44",6.9
E12,-2.4294248130266616,-79.66550423454743,"09/09/2022, 18:04:32",1.9
E120,-2.448109471307822,-79.69652406498547,"09/09/2022, 18:36:04",5.8
E121,-2.448181645003823,-79.6973014682058,"09/09/2022, 18:36:39",5.2
E122,-2.4482658482588002,-79.69769470335673,"09/09/2022, 18:36:54",5.2
E123,-2.448375410081266,-79.69802546631823,"09/09/2022, 18:37:09",5.1
E124,-2.448542298465757,-79.69837336807441,"09/09/2022, 18:37:27",5.8
E125,-2.4487125742742197,-79.69870649165496,"09/09/2022, 18:37:42",5.0
E126,-2.4488809787185724,-79.69900309338705,"09/09/2022, 18:37:58",4.8
E127,-2.449109330807597,-79.69932372717919,"09/09/2022, 18:38:15",4.9
E128,-2.4492811717944987,-79.69962316948683,"09/09/2022, 18:38:31",4.7
E129,-2.4495510979206996,-79.69991474143761,"09/09/2022, 18:38:50",3.8
E13,-2.4295350255308223,-79.66571552276473,"09/09/2022, 18:04:44",1.9
E130,-2.449829275681254,-79.70024579064898,"09/09/2022, 18:39:10",3.1
E131,-2.45029069931693,-79.70076508200884,"09/09/2022, 18:39:43",2.3
